time,open,high,low,close,Volume,Smoothed HA (Open),Smoothed HA (High),Smoothed HA (Low),Smoothed HA (Close),TDFI,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1641220200,83.915,85.72,82.56,85.565,76505152,80.74777298888752,83.27987943926426,79.48733188492899,81.46241292644096,0.01354180404604005,56.06296304695286,51.379823077452514,NaN,NaN,NaN,NaN,NaN,NaN
1641306600,85.915,85.945,80.195,82.24,106648110,81.10509295766425,83.56917561797366,79.80412451632466,81.7764101365471,0.00010403421340451171,50.78536391908163,51.72113536083389,NaN,NaN,NaN,NaN,NaN,NaN
1641393000,81.19,81.86,74.50125,74.675,133245246,81.44075154710568,83.70633502296181,79.84089067399202,81.86363644623643,-0.007330318837124332,41.2669481639514,50.87928861381455,NaN,NaN,NaN,NaN,NaN,NaN
1641479400,73.515,76.405,72.21,74.47,154226586,81.65219399667106,83.5567860288477,79.61324188122416,81.66703136607023,-0.08595428389115495,41.0424622366547,50.579649719275444,NaN,NaN,NaN,NaN,NaN,NaN
1641565800,74.45,75.47,71,72.035,142713484,81.65961268137065,83.21791525315153,79.1761136189176,81.25679882922938,-0.41222499526880113,38.37231875096909,50.181407756273835,NaN,NaN,38.37231875096909,NaN,NaN,NaN
1641825000,69.175,72.47,66.05,72.3,179217406,81.45820575530001,82.7331805867571,78.4495694559217,80.61001345070851,-0.44510044773811674,38.83866633493888,49.99185513578901,NaN,NaN,NaN,NaN,NaN,NaN
1641911400,71.715,75.515,70.52,75.48,154326818,81.03410960300425,82.07727082874187,77.70107065405101,79.93563601712978,-0.08584001462827714,44.28691636107795,49.70913743199508,NaN,NaN,NaN,NaN,NaN,NaN
1641997800,76.985,77.965,74.94,76.34,138371172,80.48487281006702,81.49731406541768,77.1087344096896,79.37251935441577,-0.03359289748999548,45.695782266294245,49.28266576610262,NaN,NaN,NaN,NaN,45.695782266294245,NaN
1642084200,77.13,77.55,70.02,70.8,86765910,79.92869608224139,80.97858882499678,76.47787347223479,78.81382078336206,-0.5716883856976697,38.87573916925243,48.207527973351965,NaN,NaN,NaN,NaN,NaN,NaN
1642170600,69.09,72.065,69,71.87,89225817,79.37125843280172,80.3366789095085,75.80835917617877,78.16518551568605,-0.33844181012924185,40.71611431763707,46.9544150572896,NaN,NaN,NaN,NaN,NaN,NaN
1642516200,68.485,69.72,66.06,66.69,78170870,78.76822197424389,79.5581114551858,75.03791211266429,77.38629957564885,-1,35.19194836305428,45.41262800592292,NaN,NaN,NaN,NaN,NaN,NaN
1642602600,67.36,68.71,64.16,64.37,91642198,78.07726077494637,78.72353398662611,74.16255789286816,76.49344867113969,-1,33.03043654671559,43.73110553851436,NaN,NaN,NaN,NaN,NaN,NaN
1642689000,66.02,68.18,61.5,61.88,86098532,77.28535472304303,77.81412371441736,73.15798001373628,75.49580637403389,-1,30.840969704148208,41.984298728374064,NaN,NaN,NaN,NaN,NaN,NaN
1642775400,60.62,62.025,56.5,56.67,171027338,76.39058054853845,76.82320972329927,71.93481697022696,74.28111834459831,-1,26.833064883610888,40.1314067188814,NaN,NaN,NaN,NaN,NaN,NaN
1643034600,53.845,57.75,48.17,57.49,255904575,75.33584944656837,75.68981877137269,70.33039156191982,72.8079017845762,-0.7879762791782222,28.409959943248055,38.156192211473915,NaN,NaN,NaN,NaN,NaN,NaN
1643121000,54.15,56.31,51.75,53.25,173748989,74.07187561557228,74.36148688132127,68.64212689811357,71.1954873341622,-1,25.36576424110409,36.3405065201898,NaN,NaN,NaN,NaN,NaN,NaN
